phase,name,is_signal,file_path,activity_bq,amount,time_s,phase_time_s,nb_events
phase_0,bb,false,data/mathis_files/bb/phase_0/bb_phase_0.root,0.011360597985528976,1.0,9.019296e7,3.2755212e6,30000000
phase_1,bb,false,data/mathis_files/bb/phase_1/bb_phase_1.root,0.011360597985528976,1.0,9.019296e7,2.2166779e6,30000000
phase_2,bb,false,data/mathis_files/bb/phase_2/bb_phase_2.root,0.011360597985528976,1.0,9.019296e7,1.2274785e6,30000000
phase_3,bb,false,data/mathis_files/bb/phase_3/bb_phase_3.root,0.011360597985528976,1.0,9.019296e7,6.615636e6,30000000
phase_4,bb,false,data/mathis_files/bb/phase_4/bb_phase_4.root,0.011360597985528976,1.0,9.019296e7,1.3409078e7,30000000
phase_0,bb0nu,true,data/mathis_files/bb0nu/phase_0/bb0nu_phase_0.root,1.0,1.0,9.019296e7,3.2755212e6,10000000
phase_1,bb0nu,true,data/mathis_files/bb0nu/phase_1/bb0nu_phase_1.root,1.0,1.0,9.019296e7,2.2166779e6,10000000
phase_2,bb0nu,true,data/mathis_files/bb0nu/phase_2/bb0nu_phase_2.root,1.0,1.0,9.019296e7,1.2274785e6,10000000
phase_3,bb0nu,true,data/mathis_files/bb0nu/phase_3/bb0nu_phase_3.root,1.0,1.0,9.019296e7,6.615636e6,10000000
phase_4,bb0nu,true,data/mathis_files/bb0nu/phase_4/bb0nu_phase_4.root,1.0,1.0,9.019296e7,1.3409078e7,10000000
phase_0,bi_5_pmt,false,data/mathis_files/bi_5_pmt/phase_0/bi_5_pmt_phase_0.root,24.712202609363008,1.0,9.019296e7,3.2755212e6,5000000000
phase_1,bi_5_pmt,false,data/mathis_files/bi_5_pmt/phase_1/bi_5_pmt_phase_1.root,24.712202609363008,1.0,9.019296e7,2.2166779e6,5000000000
phase_2,bi_5_pmt,false,data/mathis_files/bi_5_pmt/phase_2/bi_5_pmt_phase_2.root,24.712202609363008,1.0,9.019296e7,1.2274785e6,5000000000
phase_3,bi_5_pmt,false,data/mathis_files/bi_5_pmt/phase_3/bi_5_pmt_phase_3.root,24.712202609363008,1.0,9.019296e7,6.615636e6,5000000000
phase_4,bi_5_pmt,false,data/mathis_files/bi_5_pmt/phase_4/bi_5_pmt_phase_4.root,24.712202609363008,1.0,9.019296e7,1.3409078e7,5000000000
phase_0,bi_foil,false,data/mathis_files/bi_foil/phase_0/bi_foil_phase_0.root,6.25e-5,1.0,9.019296e7,3.2755212e6,10000000
phase_1,bi_foil,false,data/mathis_files/bi_foil/phase_1/bi_foil_phase_1.root,6.25e-5,1.0,9.019296e7,2.2166779e6,10000000
phase_2,bi_foil,false,data/mathis_files/bi_foil/phase_2/bi_foil_phase_2.root,6.25e-5,1.0,9.019296e7,1.2274785e6,10000000
phase_3,bi_foil,false,data/mathis_files/bi_foil/phase_3/bi_foil_phase_3.root,6.25e-5,1.0,9.019296e7,6.615636e6,10000000
phase_4,bi_foil,false,data/mathis_files/bi_foil/phase_4/bi_foil_phase_4.root,6.25e-5,1.0,9.019296e7,1.3409078e7,10000000
phase_0,bi_g_pmt,false,data/mathis_files/bi_g_pmt/phase_0/bi_g_pmt_phase_0.root,8.59554873369148,1.0,9.019296e7,3.2755212e6,9860000000
phase_1,bi_g_pmt,false,data/mathis_files/bi_g_pmt/phase_1/bi_g_pmt_phase_1.root,8.59554873369148,1.0,9.019296e7,2.2166779e6,9935000000
phase_2,bi_g_pmt,false,data/mathis_files/bi_g_pmt/phase_2/bi_g_pmt_phase_2.root,8.59554873369148,1.0,9.019296e7,1.2274785e6,9880000000
phase_3,bi_g_pmt,false,data/mathis_files/bi_g_pmt/phase_3/bi_g_pmt_phase_3.root,8.59554873369148,1.0,9.019296e7,6.615636e6,9900000000
phase_4,bi_g_pmt,false,data/mathis_files/bi_g_pmt/phase_4/bi_g_pmt_phase_4.root,8.59554873369148,1.0,9.019296e7,1.3409078e7,9960000000
phase_0,bi_pmt,false,data/mathis_files/bi_pmt/phase_0/bi_pmt_phase_0.root,141,1.0,9.019296e7,3.2755212e6,5000000000
phase_1,bi_pmt,false,data/mathis_files/bi_pmt/phase_1/bi_pmt_phase_1.root,141,1.0,9.019296e7,2.2166779e6,5000000000
phase_2,bi_pmt,false,data/mathis_files/bi_pmt/phase_2/bi_pmt_phase_2.root,141,1.0,9.019296e7,1.2274785e6,5000000000
phase_3,bi_pmt,false,data/mathis_files/bi_pmt/phase_3/bi_pmt_phase_3.root,141,1.0,9.019296e7,6.615636e6,5000000000
phase_4,bi_pmt,false,data/mathis_files/bi_pmt/phase_4/bi_pmt_phase_4.root,141,1.0,9.019296e7,1.3409078e7,5000000000
phase_0,bi_x_pmt,false,data/mathis_files/bi_x_pmt/phase_0/bi_x_pmt_phase_0.root,22.69224865694551,1.0,9.019296e7,3.2755212e6,5000000000
phase_1,bi_x_pmt,false,data/mathis_files/bi_x_pmt/phase_1/bi_x_pmt_phase_1.root,22.69224865694551,1.0,9.019296e7,2.2166779e6,5000000000
phase_2,bi_x_pmt,false,data/mathis_files/bi_x_pmt/phase_2/bi_x_pmt_phase_2.root,22.69224865694551,1.0,9.019296e7,1.2274785e6,5000000000
phase_3,bi_x_pmt,false,data/mathis_files/bi_x_pmt/phase_3/bi_x_pmt_phase_3.root,22.69224865694551,1.0,9.019296e7,6.615636e6,5000000000
phase_4,bi_x_pmt,false,data/mathis_files/bi_x_pmt/phase_4/bi_x_pmt_phase_4.root,22.69224865694551,1.0,9.019296e7,1.3409078e7,5000000000
phase_0,k,false,data/mathis_files/k/phase_0/k_phase_0.root,0.366875,1.0,9.019296e7,3.2755212e6,500000000
phase_1,k,false,data/mathis_files/k/phase_1/k_phase_1.root,0.366875,1.0,9.019296e7,2.2166779e6,500000000
phase_2,k,false,data/mathis_files/k/phase_2/k_phase_2.root,0.366875,1.0,9.019296e7,1.2274785e6,500000000
phase_3,k,false,data/mathis_files/k/phase_3/k_phase_3.root,0.366875,1.0,9.019296e7,6.615636e6,500000000
phase_4,k,false,data/mathis_files/k/phase_4/k_phase_4.root,0.366875,1.0,9.019296e7,1.3409078e7,500000000
phase_0,k_5_pmt,false,data/mathis_files/k_5_pmt/phase_0/k_5_pmt_phase_0.root,54.278587874136605,1.0,9.019296e7,3.2755212e6,10000000000
phase_1,k_5_pmt,false,data/mathis_files/k_5_pmt/phase_1/k_5_pmt_phase_1.root,54.278587874136605,1.0,9.019296e7,2.2166779e6,10000000000
phase_2,k_5_pmt,false,data/mathis_files/k_5_pmt/phase_2/k_5_pmt_phase_2.root,54.278587874136605,1.0,9.019296e7,1.2274785e6,10000000000
phase_3,k_5_pmt,false,data/mathis_files/k_5_pmt/phase_3/k_5_pmt_phase_3.root,54.278587874136605,1.0,9.019296e7,6.615636e6,10000000000
phase_4,k_5_pmt,false,data/mathis_files/k_5_pmt/phase_4/k_5_pmt_phase_4.root,54.278587874136605,1.0,9.019296e7,1.3409078e7,10000000000
phase_0,k_g_pmt,false,data/mathis_files/k_g_pmt/phase_0/k_g_pmt_phase_0.root,18.879508825786644,1.0,9.019296e7,3.2755212e6,19800000000
phase_1,k_g_pmt,false,data/mathis_files/k_g_pmt/phase_1/k_g_pmt_phase_1.root,18.879508825786644,1.0,9.019296e7,2.2166779e6,19840000000
phase_2,k_g_pmt,false,data/mathis_files/k_g_pmt/phase_2/k_g_pmt_phase_2.root,18.879508825786644,1.0,9.019296e7,1.2274785e6,19820000000
phase_3,k_g_pmt,false,data/mathis_files/k_g_pmt/phase_3/k_g_pmt_phase_3.root,18.879508825786644,1.0,9.019296e7,6.615636e6,19880000000
phase_4,k_g_pmt,false,data/mathis_files/k_g_pmt/phase_4/k_g_pmt_phase_4.root,18.879508825786644,1.0,9.019296e7,1.3409078e7,19960000000
phase_0,k_pmt,false,data/mathis_files/k_pmt/phase_0/k_pmt_phase_0.root,417,1.0,9.019296e7,3.2755212e6,20000000000
phase_1,k_pmt,false,data/mathis_files/k_pmt/phase_1/k_pmt_phase_1.root,417,1.0,9.019296e7,2.2166779e6,20000000000
phase_2,k_pmt,false,data/mathis_files/k_pmt/phase_2/k_pmt_phase_2.root,417,1.0,9.019296e7,1.2274785e6,20000000000
phase_3,k_pmt,false,data/mathis_files/k_pmt/phase_3/k_pmt_phase_3.root,417,1.0,9.019296e7,6.615636e6,20000000000
phase_4,k_pmt,false,data/mathis_files/k_pmt/phase_4/k_pmt_phase_4.root,417,1.0,9.019296e7,1.3409078e7,20000000000
phase_0,k_x_pmt,false,data/mathis_files/k_x_pmt/phase_0/k_x_pmt_phase_0.root,49.841903300076744,1.0,9.019296e7,3.2755212e6,4960000000
phase_1,k_x_pmt,false,data/mathis_files/k_x_pmt/phase_1/k_x_pmt_phase_1.root,49.841903300076744,1.0,9.019296e7,2.2166779e6,5010000000
phase_2,k_x_pmt,false,data/mathis_files/k_x_pmt/phase_2/k_x_pmt_phase_2.root,49.841903300076744,1.0,9.019296e7,1.2274785e6,5030000000
phase_3,k_x_pmt,false,data/mathis_files/k_x_pmt/phase_3/k_x_pmt_phase_3.root,49.841903300076744,1.0,9.019296e7,6.615636e6,5020000000
phase_4,k_x_pmt,false,data/mathis_files/k_x_pmt/phase_4/k_x_pmt_phase_4.root,49.841903300076744,1.0,9.019296e7,1.3409078e7,5030000000
phase_0,pa,false,data/mathis_files/pa/phase_0/pa_phase_0.root,0.108125,1.0,9.019296e7,3.2755212e6,200000000
phase_1,pa,false,data/mathis_files/pa/phase_1/pa_phase_1.root,0.108125,1.0,9.019296e7,2.2166779e6,200000000
phase_2,pa,false,data/mathis_files/pa/phase_2/pa_phase_2.root,0.108125,1.0,9.019296e7,1.2274785e6,195000000
phase_3,pa,false,data/mathis_files/pa/phase_3/pa_phase_3.root,0.108125,1.0,9.019296e7,6.615636e6,195000000
phase_4,pa,false,data/mathis_files/pa/phase_4/pa_phase_4.root,0.108125,1.0,9.019296e7,1.3409078e7,195000000
phase_0,radon,false,data/mathis_files/radon/phase_0/radon_phase_0.root,1.2582749999999998,1.0,9.019296e7,3.2755212e6,145000000
phase_1,radon,false,data/mathis_files/radon/phase_1/radon_phase_1.root,1.4406749999999997,1.0,9.019296e7,2.2166779e6,145000000
phase_2,radon,false,data/mathis_files/radon/phase_2/radon_phase_2.root,0.9647249999999999,1.0,9.019296e7,1.2274785e6,144000000
phase_3,radon,false,data/mathis_files/radon/phase_3/radon_phase_3.root,0.04787999999999999,1.0,9.019296e7,6.615636e6,144000000
phase_4,radon,false,data/mathis_files/radon/phase_4/radon_phase_4.root,0.01425,1.0,9.019296e7,1.3409078e7,144000000
phase_0,radon_surface,false,data/mathis_files/radon_surface/phase_0/radon_surface_phase_0.root,0.06622499999999999,1.0,9.019296e7,3.2755212e6,147000000
phase_1,radon_surface,false,data/mathis_files/radon_surface/phase_1/radon_surface_phase_1.root,0.07582499999999999,1.0,9.019296e7,2.2166779e6,149000000
phase_2,radon_surface,false,data/mathis_files/radon_surface/phase_2/radon_surface_phase_2.root,0.05077500000000001,1.0,9.019296e7,1.2274785e6,146000000
phase_3,radon_surface,false,data/mathis_files/radon_surface/phase_3/radon_surface_phase_3.root,0.00252,1.0,9.019296e7,6.615636e6,146000000
phase_4,radon_surface,false,data/mathis_files/radon_surface/phase_4/radon_surface_phase_4.root,0.00075,1.0,9.019296e7,1.3409078e7,146000000
phase_0,bb,false,data/mathis_files/reduces_files/bb/phase_0/bb_phase_0.root,0.011360597985528976,1.0,9.019296e7,3.2755212e6,30000000
phase_1,bb,false,data/mathis_files/reduces_files/bb/phase_1/bb_phase_1.root,0.011360597985528976,1.0,9.019296e7,2.2166779e6,30000000
phase_2,bb,false,data/mathis_files/reduces_files/bb/phase_2/bb_phase_2.root,0.011360597985528976,1.0,9.019296e7,1.2274785e6,30000000
phase_3,bb,false,data/mathis_files/reduces_files/bb/phase_3/bb_phase_3.root,0.011360597985528976,1.0,9.019296e7,6.615636e6,30000000
phase_0,bi_5_pmt,false,data/mathis_files/reduces_files/bi_5_pmt/phase_0/bi_5_pmt_phase_0.root,24.712202609363008,1.0,9.019296e7,3.2755212e6,5000000000
phase_1,bi_5_pmt,false,data/mathis_files/reduces_files/bi_5_pmt/phase_1/bi_5_pmt_phase_1.root,24.712202609363008,1.0,9.019296e7,2.2166779e6,5000000000
phase_2,bi_5_pmt,false,data/mathis_files/reduces_files/bi_5_pmt/phase_2/bi_5_pmt_phase_2.root,24.712202609363008,1.0,9.019296e7,1.2274785e6,5000000000
phase_3,bi_5_pmt,false,data/mathis_files/reduces_files/bi_5_pmt/phase_3/bi_5_pmt_phase_3.root,24.712202609363008,1.0,9.019296e7,6.615636e6,5000000000
phase_0,bi_foil,false,data/mathis_files/reduces_files/bi_foil/phase_0/bi_foil_phase_0.root,6.25e-5,1.0,9.019296e7,3.2755212e6,10000000
phase_1,bi_foil,false,data/mathis_files/reduces_files/bi_foil/phase_1/bi_foil_phase_1.root,6.25e-5,1.0,9.019296e7,2.2166779e6,10000000
phase_2,bi_foil,false,data/mathis_files/reduces_files/bi_foil/phase_2/bi_foil_phase_2.root,6.25e-5,1.0,9.019296e7,1.2274785e6,10000000
phase_3,bi_foil,false,data/mathis_files/reduces_files/bi_foil/phase_3/bi_foil_phase_3.root,6.25e-5,1.0,9.019296e7,6.615636e6,10000000
phase_0,bi_g_pmt,false,data/mathis_files/reduces_files/bi_g_pmt/phase_0/bi_g_pmt_phase_0.root,8.59554873369148,1.0,9.019296e7,3.2755212e6,9860000000
phase_1,bi_g_pmt,false,data/mathis_files/reduces_files/bi_g_pmt/phase_1/bi_g_pmt_phase_1.root,8.59554873369148,1.0,9.019296e7,2.2166779e6,9935000000
phase_2,bi_g_pmt,false,data/mathis_files/reduces_files/bi_g_pmt/phase_2/bi_g_pmt_phase_2.root,8.59554873369148,1.0,9.019296e7,1.2274785e6,9880000000
phase_3,bi_g_pmt,false,data/mathis_files/reduces_files/bi_g_pmt/phase_3/bi_g_pmt_phase_3.root,8.59554873369148,1.0,9.019296e7,6.615636e6,9900000000
phase_0,bi_pmt,false,data/mathis_files/reduces_files/bi_pmt/phase_0/bi_pmt_phase_0.root,141,1.0,9.019296e7,3.2755212e6,5000000000
phase_1,bi_pmt,false,data/mathis_files/reduces_files/bi_pmt/phase_1/bi_pmt_phase_1.root,141,1.0,9.019296e7,2.2166779e6,5000000000
phase_2,bi_pmt,false,data/mathis_files/reduces_files/bi_pmt/phase_2/bi_pmt_phase_2.root,141,1.0,9.019296e7,1.2274785e6,5000000000
phase_3,bi_pmt,false,data/mathis_files/reduces_files/bi_pmt/phase_3/bi_pmt_phase_3.root,141,1.0,9.019296e7,6.615636e6,5000000000
phase_0,bi_x_pmt,false,data/mathis_files/reduces_files/bi_x_pmt/phase_0/bi_x_pmt_phase_0.root,22.69224865694551,1.0,9.019296e7,3.2755212e6,5000000000
phase_1,bi_x_pmt,false,data/mathis_files/reduces_files/bi_x_pmt/phase_1/bi_x_pmt_phase_1.root,22.69224865694551,1.0,9.019296e7,2.2166779e6,5000000000
phase_2,bi_x_pmt,false,data/mathis_files/reduces_files/bi_x_pmt/phase_2/bi_x_pmt_phase_2.root,22.69224865694551,1.0,9.019296e7,1.2274785e6,5000000000
phase_3,bi_x_pmt,false,data/mathis_files/reduces_files/bi_x_pmt/phase_3/bi_x_pmt_phase_3.root,22.69224865694551,1.0,9.019296e7,6.615636e6,5000000000
phase_0,k,false,data/mathis_files/reduces_files/k/phase_0/k_phase_0.root,0.366875,1.0,9.019296e7,3.2755212e6,500000000
phase_1,k,false,data/mathis_files/reduces_files/k/phase_1/k_phase_1.root,0.366875,1.0,9.019296e7,2.2166779e6,500000000
phase_2,k,false,data/mathis_files/reduces_files/k/phase_2/k_phase_2.root,0.366875,1.0,9.019296e7,1.2274785e6,500000000
phase_3,k,false,data/mathis_files/reduces_files/k/phase_3/k_phase_3.root,0.366875,1.0,9.019296e7,6.615636e6,500000000
phase_0,k_5_pmt,false,data/mathis_files/reduces_files/k_5_pmt/phase_0/k_5_pmt_phase_0.root,54.278587874136605,1.0,9.019296e7,3.2755212e6,10000000000
phase_1,k_5_pmt,false,data/mathis_files/reduces_files/k_5_pmt/phase_1/k_5_pmt_phase_1.root,54.278587874136605,1.0,9.019296e7,2.2166779e6,10000000000
phase_2,k_5_pmt,false,data/mathis_files/reduces_files/k_5_pmt/phase_2/k_5_pmt_phase_2.root,54.278587874136605,1.0,9.019296e7,1.2274785e6,10000000000
phase_3,k_5_pmt,false,data/mathis_files/reduces_files/k_5_pmt/phase_3/k_5_pmt_phase_3.root,54.278587874136605,1.0,9.019296e7,6.615636e6,10000000000
phase_0,k_g_pmt,false,data/mathis_files/reduces_files/k_g_pmt/phase_0/k_g_pmt_phase_0.root,18.879508825786644,1.0,9.019296e7,3.2755212e6,19800000000
phase_1,k_g_pmt,false,data/mathis_files/reduces_files/k_g_pmt/phase_1/k_g_pmt_phase_1.root,18.879508825786644,1.0,9.019296e7,2.2166779e6,19840000000
phase_2,k_g_pmt,false,data/mathis_files/reduces_files/k_g_pmt/phase_2/k_g_pmt_phase_2.root,18.879508825786644,1.0,9.019296e7,1.2274785e6,19820000000
phase_3,k_g_pmt,false,data/mathis_files/reduces_files/k_g_pmt/phase_3/k_g_pmt_phase_3.root,18.879508825786644,1.0,9.019296e7,6.615636e6,19880000000
phase_0,k_pmt,false,data/mathis_files/reduces_files/k_pmt/phase_0/k_pmt_phase_0.root,417,1.0,9.019296e7,3.2755212e6,20000000000
phase_1,k_pmt,false,data/mathis_files/reduces_files/k_pmt/phase_1/k_pmt_phase_1.root,417,1.0,9.019296e7,2.2166779e6,20000000000
phase_2,k_pmt,false,data/mathis_files/reduces_files/k_pmt/phase_2/k_pmt_phase_2.root,417,1.0,9.019296e7,1.2274785e6,20000000000
phase_3,k_pmt,false,data/mathis_files/reduces_files/k_pmt/phase_3/k_pmt_phase_3.root,417,1.0,9.019296e7,6.615636e6,20000000000
phase_0,k_x_pmt,false,data/mathis_files/reduces_files/k_x_pmt/phase_0/k_x_pmt_phase_0.root,49.841903300076744,1.0,9.019296e7,3.2755212e6,4960000000
phase_1,k_x_pmt,false,data/mathis_files/reduces_files/k_x_pmt/phase_1/k_x_pmt_phase_1.root,49.841903300076744,1.0,9.019296e7,2.2166779e6,5010000000
phase_2,k_x_pmt,false,data/mathis_files/reduces_files/k_x_pmt/phase_2/k_x_pmt_phase_2.root,49.841903300076744,1.0,9.019296e7,1.2274785e6,5030000000
phase_3,k_x_pmt,false,data/mathis_files/reduces_files/k_x_pmt/phase_3/k_x_pmt_phase_3.root,49.841903300076744,1.0,9.019296e7,6.615636e6,5020000000
phase_0,pa,false,data/mathis_files/reduces_files/pa/phase_0/pa_phase_0.root,0.108125,1.0,9.019296e7,3.2755212e6,200000000
phase_1,pa,false,data/mathis_files/reduces_files/pa/phase_1/pa_phase_1.root,0.108125,1.0,9.019296e7,2.2166779e6,200000000
phase_2,pa,false,data/mathis_files/reduces_files/pa/phase_2/pa_phase_2.root,0.108125,1.0,9.019296e7,1.2274785e6,195000000
phase_3,pa,false,data/mathis_files/reduces_files/pa/phase_3/pa_phase_3.root,0.108125,1.0,9.019296e7,6.615636e6,195000000
phase_0,radon,false,data/mathis_files/reduces_files/radon/phase_0/radon_phase_0.root,1.2582749999999998,1.0,9.019296e7,3.2755212e6,145000000
phase_1,radon,false,data/mathis_files/reduces_files/radon/phase_1/radon_phase_1.root,1.4406749999999997,1.0,9.019296e7,2.2166779e6,145000000
phase_2,radon,false,data/mathis_files/reduces_files/radon/phase_2/radon_phase_2.root,0.9647249999999999,1.0,9.019296e7,1.2274785e6,144000000
phase_3,radon,false,data/mathis_files/reduces_files/radon/phase_3/radon_phase_3.root,0.04787999999999999,1.0,9.019296e7,6.615636e6,144000000
phase_0,radon_surface,false,data/mathis_files/reduces_files/radon_surface/phase_0/radon_surface_phase_0.root,0.06622499999999999,1.0,9.019296e7,3.2755212e6,147000000
phase_1,radon_surface,false,data/mathis_files/reduces_files/radon_surface/phase_1/radon_surface_phase_1.root,0.07582499999999999,1.0,9.019296e7,2.2166779e6,149000000
phase_2,radon_surface,false,data/mathis_files/reduces_files/radon_surface/phase_2/radon_surface_phase_2.root,0.05077500000000001,1.0,9.019296e7,1.2274785e6,146000000
phase_3,radon_surface,false,data/mathis_files/reduces_files/radon_surface/phase_3/radon_surface_phase_3.root,0.00252,1.0,9.019296e7,6.615636e6,146000000
phase_0,tl,false,data/mathis_files/reduces_files/tl/phase_0/tl_phase_0.root,1.25e-5,1.0,9.019296e7,3.2755212e6,10000000
phase_1,tl,false,data/mathis_files/reduces_files/tl/phase_1/tl_phase_1.root,1.25e-5,1.0,9.019296e7,2.2166779e6,10000000
phase_2,tl,false,data/mathis_files/reduces_files/tl/phase_2/tl_phase_2.root,1.25e-5,1.0,9.019296e7,1.2274785e6,10000000
phase_3,tl,false,data/mathis_files/reduces_files/tl/phase_3/tl_phase_3.root,1.25e-5,1.0,9.019296e7,6.615636e6,10000000
phase_0,tl_5_pmt,false,data/mathis_files/reduces_files/tl_5_pmt/phase_0/tl_5_pmt_phase_0.root,1.390061396776669,1.0,9.019296e7,3.2755212e6,300000000
phase_1,tl_5_pmt,false,data/mathis_files/reduces_files/tl_5_pmt/phase_1/tl_5_pmt_phase_1.root,1.390061396776669,1.0,9.019296e7,2.2166779e6,300000000
phase_2,tl_5_pmt,false,data/mathis_files/reduces_files/tl_5_pmt/phase_2/tl_5_pmt_phase_2.root,1.390061396776669,1.0,9.019296e7,1.2274785e6,300000000
phase_3,tl_5_pmt,false,data/mathis_files/reduces_files/tl_5_pmt/phase_3/tl_5_pmt_phase_3.root,1.390061396776669,1.0,9.019296e7,6.615636e6,300000000
phase_0,tl_g_pmt,false,data/mathis_files/reduces_files/tl_g_pmt/phase_0/tl_g_pmt_phase_0.root,0.48349961627014576,1.0,9.019296e7,3.2755212e6,306000000
phase_1,tl_g_pmt,false,data/mathis_files/reduces_files/tl_g_pmt/phase_1/tl_g_pmt_phase_1.root,0.48349961627014576,1.0,9.019296e7,2.2166779e6,306000000
phase_2,tl_g_pmt,false,data/mathis_files/reduces_files/tl_g_pmt/phase_2/tl_g_pmt_phase_2.root,0.48349961627014576,1.0,9.019296e7,1.2274785e6,306000000
phase_3,tl_g_pmt,false,data/mathis_files/reduces_files/tl_g_pmt/phase_3/tl_g_pmt_phase_3.root,0.48349961627014576,1.0,9.019296e7,6.615636e6,308000000
phase_0,tl_pmt,false,data/mathis_files/reduces_files/tl_pmt/phase_0/tl_pmt_phase_0.root,40,1.0,9.019296e7,3.2755212e6,5000000000
phase_1,tl_pmt,false,data/mathis_files/reduces_files/tl_pmt/phase_1/tl_pmt_phase_1.root,40,1.0,9.019296e7,2.2166779e6,5000000000
phase_2,tl_pmt,false,data/mathis_files/reduces_files/tl_pmt/phase_2/tl_pmt_phase_2.root,40,1.0,9.019296e7,1.2274785e6,5000000000
phase_3,tl_pmt,false,data/mathis_files/reduces_files/tl_pmt/phase_3/tl_pmt_phase_3.root,40,1.0,9.019296e7,6.615636e6,5000000000
phase_0,tl_x_pmt,false,data/mathis_files/reduces_files/tl_x_pmt/phase_0/tl_x_pmt_phase_0.root,1.276438986953185,1.0,9.019296e7,3.2755212e6,300000000
phase_1,tl_x_pmt,false,data/mathis_files/reduces_files/tl_x_pmt/phase_1/tl_x_pmt_phase_1.root,1.276438986953185,1.0,9.019296e7,2.2166779e6,300000000
phase_2,tl_x_pmt,false,data/mathis_files/reduces_files/tl_x_pmt/phase_2/tl_x_pmt_phase_2.root,1.276438986953185,1.0,9.019296e7,1.2274785e6,300000000
phase_3,tl_x_pmt,false,data/mathis_files/reduces_files/tl_x_pmt/phase_3/tl_x_pmt_phase_3.root,1.276438986953185,1.0,9.019296e7,6.615636e6,300000000
phase_0,tl,false,data/mathis_files/tl/phase_0/tl_phase_0.root,1.25e-5,1.0,9.019296e7,3.2755212e6,10000000
phase_1,tl,false,data/mathis_files/tl/phase_1/tl_phase_1.root,1.25e-5,1.0,9.019296e7,2.2166779e6,10000000
phase_2,tl,false,data/mathis_files/tl/phase_2/tl_phase_2.root,1.25e-5,1.0,9.019296e7,1.2274785e6,10000000
phase_3,tl,false,data/mathis_files/tl/phase_3/tl_phase_3.root,1.25e-5,1.0,9.019296e7,6.615636e6,10000000
phase_4,tl,false,data/mathis_files/tl/phase_4/tl_phase_4.root,1.25e-5,1.0,9.019296e7,1.3409078e7,10000000
phase_0,tl_5_pmt,false,data/mathis_files/tl_5_pmt/phase_0/tl_5_pmt_phase_0.root,1.390061396776669,1.0,9.019296e7,3.2755212e6,300000000
phase_1,tl_5_pmt,false,data/mathis_files/tl_5_pmt/phase_1/tl_5_pmt_phase_1.root,1.390061396776669,1.0,9.019296e7,2.2166779e6,300000000
phase_2,tl_5_pmt,false,data/mathis_files/tl_5_pmt/phase_2/tl_5_pmt_phase_2.root,1.390061396776669,1.0,9.019296e7,1.2274785e6,300000000
phase_3,tl_5_pmt,false,data/mathis_files/tl_5_pmt/phase_3/tl_5_pmt_phase_3.root,1.390061396776669,1.0,9.019296e7,6.615636e6,300000000
phase_4,tl_5_pmt,false,data/mathis_files/tl_5_pmt/phase_4/tl_5_pmt_phase_4.root,1.390061396776669,1.0,9.019296e7,1.3409078e7,300000000
phase_0,tl_g_pmt,false,data/mathis_files/tl_g_pmt/phase_0/tl_g_pmt_phase_0.root,0.48349961627014576,1.0,9.019296e7,3.2755212e6,306000000
phase_1,tl_g_pmt,false,data/mathis_files/tl_g_pmt/phase_1/tl_g_pmt_phase_1.root,0.48349961627014576,1.0,9.019296e7,2.2166779e6,306000000
phase_2,tl_g_pmt,false,data/mathis_files/tl_g_pmt/phase_2/tl_g_pmt_phase_2.root,0.48349961627014576,1.0,9.019296e7,1.2274785e6,306000000
phase_3,tl_g_pmt,false,data/mathis_files/tl_g_pmt/phase_3/tl_g_pmt_phase_3.root,0.48349961627014576,1.0,9.019296e7,6.615636e6,308000000
phase_4,tl_g_pmt,false,data/mathis_files/tl_g_pmt/phase_4/tl_g_pmt_phase_4.root,0.48349961627014576,1.0,9.019296e7,1.3409078e7,308000000
phase_0,tl_pmt,false,data/mathis_files/tl_pmt/phase_0/tl_pmt_phase_0.root,40,1.0,9.019296e7,3.2755212e6,5000000000
phase_1,tl_pmt,false,data/mathis_files/tl_pmt/phase_1/tl_pmt_phase_1.root,40,1.0,9.019296e7,2.2166779e6,5000000000
phase_2,tl_pmt,false,data/mathis_files/tl_pmt/phase_2/tl_pmt_phase_2.root,40,1.0,9.019296e7,1.2274785e6,5000000000
phase_3,tl_pmt,false,data/mathis_files/tl_pmt/phase_3/tl_pmt_phase_3.root,40,1.0,9.019296e7,6.615636e6,5000000000
phase_4,tl_pmt,false,data/mathis_files/tl_pmt/phase_4/tl_pmt_phase_4.root,40,1.0,9.019296e7,1.3409078e7,5000000000
phase_0,tl_x_pmt,false,data/mathis_files/tl_x_pmt/phase_0/tl_x_pmt_phase_0.root,1.276438986953185,1.0,9.019296e7,3.2755212e6,300000000
phase_1,tl_x_pmt,false,data/mathis_files/tl_x_pmt/phase_1/tl_x_pmt_phase_1.root,1.276438986953185,1.0,9.019296e7,2.2166779e6,300000000
phase_2,tl_x_pmt,false,data/mathis_files/tl_x_pmt/phase_2/tl_x_pmt_phase_2.root,1.276438986953185,1.0,9.019296e7,1.2274785e6,300000000
phase_3,tl_x_pmt,false,data/mathis_files/tl_x_pmt/phase_3/tl_x_pmt_phase_3.root,1.276438986953185,1.0,9.019296e7,6.615636e6,300000000
phase_4,tl_x_pmt,false,data/mathis_files/tl_x_pmt/phase_4/tl_x_pmt_phase_4.root,1.276438986953185,1.0,9.019296e7,1.3409078e7,300000000
